x,cf
0.804296,2.7644071e-03
0.811884,2.7606469e-03
0.819581,2.7568757e-03
0.827392,2.7530934e-03
0.835318,2.7492999e-03
0.843362,2.7454952e-03
0.851526,2.7416784e-03
0.859814,2.7378495e-03
0.868229,2.7340085e-03
0.876773,2.7301547e-03
0.885450,2.7262878e-03
0.894263,2.7224079e-03
0.903215,2.7185148e-03
0.912310,2.7146076e-03
0.921551,2.7106863e-03
0.930942,2.7067505e-03
0.940487,2.7027999e-03
0.950189,2.6988336e-03
0.960054,2.6948513e-03
0.970084,2.6908536e-03
0.980285,2.6868428e-03
0.990660,2.6828286e-03
1.001216,2.6787804e-03
1.011955,2.6747093e-03
1.022695,2.6706995e-03
1.033435,2.6667479e-03
1.044174,2.6628321e-03
1.054914,2.6589641e-03
1.065653,2.6551420e-03
1.076393,2.6513657e-03
1.087133,2.6476344e-03
1.097872,2.6439475e-03
1.108612,2.6403042e-03
1.119351,2.6367034e-03
1.130091,2.6331444e-03
1.140831,2.6296263e-03
1.151570,2.6261485e-03
1.162310,2.6227098e-03
1.173049,2.6193100e-03
1.183789,2.6159482e-03
1.194529,2.6126232e-03
1.205268,2.6093347e-03
1.216008,2.6060818e-03
1.226748,2.6028643e-03
1.237487,2.5996810e-03
1.248227,2.5965313e-03
1.258966,2.5934151e-03
1.269706,2.5903315e-03
1.280446,2.5872798e-03
1.291185,2.5842593e-03
1.301925,2.5812697e-03
1.312665,2.5783107e-03
1.323404,2.5753814e-03
1.334144,2.5724813e-03
1.344883,2.5696100e-03
1.355623,2.5667674e-03
1.366363,2.5639525e-03
1.377102,2.5611646e-03
1.387842,2.5584036e-03
1.398581,2.5556695e-03
1.409321,2.5529617e-03
1.420061,2.5502790e-03
1.430800,2.5476217e-03
1.441540,2.5449893e-03
1.452280,2.5423816e-03
1.463019,2.5397979e-03
1.473759,2.5372379e-03
1.484498,2.5347010e-03
1.495238,2.5321876e-03
1.505978,2.5296970e-03
1.516717,2.5272286e-03
1.527457,2.5247820e-03
1.538196,2.5223573e-03
1.548936,2.5199545e-03
1.559676,2.5175726e-03
1.570415,2.5152117e-03
1.581155,2.5128713e-03
1.591895,2.5105516e-03
1.602634,2.5082519e-03
1.613374,2.5059718e-03
1.624113,2.5037101e-03
1.634853,2.5014672e-03
1.645593,2.4992437e-03
1.656332,2.4970395e-03
1.667072,2.4948546e-03
1.677812,2.4926886e-03
1.688551,2.4905414e-03
1.699291,2.4884129e-03
1.710030,2.4863032e-03
1.720770,2.4842122e-03
1.731510,2.4821397e-03
1.742249,2.4800855e-03
1.752989,2.4780503e-03
1.763728,2.4760342e-03
1.774468,2.4740375e-03
1.785208,2.4720605e-03
1.795947,2.4701038e-03
1.806687,2.4681673e-03
1.817427,2.4662525e-03
1.828166,2.4643601e-03
1.838906,2.4624912e-03
1.849645,2.4606474e-03
1.860385,2.4588304e-03
1.871125,2.4570429e-03
1.881864,2.4552883e-03
1.892604,2.4535707e-03
1.903343,2.4518950e-03
1.914083,2.4502678e-03
1.924823,2.4486997e-03
1.935562,2.4472158e-03
1.946302,2.4458524e-03
1.957042,2.4446873e-03
1.967781,2.4436296e-03
1.978521,2.4432060e-03
1.989260,2.4413741e-03
