x,cp
0.976300,9.9569999e-02
0.979710,1.0497000e-01
0.983120,1.1011000e-01
0.986520,1.1497000e-01
0.989920,1.1953000e-01
0.993310,1.2383000e-01
0.996690,1.2789001e-01
1.000100,1.3169000e-01
1.003400,1.3523000e-01
1.006800,1.3852000e-01
1.010200,1.4160000e-01
1.013500,1.4443000e-01
1.016900,1.4702000e-01
1.020200,1.4938000e-01
1.023500,1.5154999e-01
1.026800,1.5349001e-01
1.030100,1.5518001e-01
1.033400,1.5672000e-01
1.036700,1.5803000e-01
1.040000,1.5910999e-01
1.043300,1.6005000e-01
1.046600,1.6076000e-01
1.049800,1.6129000e-01
1.053100,1.6165000e-01
1.056300,1.6181000e-01
1.059600,1.6182999e-01
1.062800,1.6165000e-01
1.066000,1.6132000e-01
1.069200,1.6085000e-01
1.072400,1.6021000e-01
1.075600,1.5944000e-01
1.078700,1.5852000e-01
1.081900,1.5747000e-01
1.085000,1.5629999e-01
1.088200,1.5500000e-01
1.091300,1.5361001e-01
1.094400,1.5209000e-01
1.097500,1.5049000e-01
1.100600,1.4878000e-01
1.103700,1.4700000e-01
1.106800,1.4515001e-01
1.109800,1.4320000e-01
1.112900,1.4123000e-01
1.115900,1.3917001e-01
1.118900,1.3708000e-01
1.122000,1.3495000e-01
1.125000,1.3277000e-01
1.128000,1.3057999e-01
1.130900,1.2836000e-01
1.133900,1.2612000e-01
1.136900,1.2389000e-01
1.139800,1.2165000e-01
1.142700,1.1941000e-01
1.145700,1.1718000e-01
1.148600,1.1497000e-01
1.151500,1.1278000e-01
1.154300,1.1061000e-01
1.157200,1.0847000e-01
1.160100,1.0636000e-01
1.162900,1.0429000e-01
1.165800,1.0227000e-01
1.168600,1.0029000e-01
1.171400,9.8346002e-02
1.174200,9.6455999e-02
1.177000,9.4619997e-02
1.179700,9.2831999e-02
1.182500,9.1100998e-02
1.185300,8.9419998e-02
1.188000,8.7796003e-02
1.190700,8.6222000e-02
1.193400,8.4705003e-02
1.196100,8.3238997e-02
1.198800,8.1820004e-02
1.201500,8.0452003e-02
1.204100,7.9129003e-02
1.206800,7.7849999e-02
1.209400,7.6608002e-02
1.212000,7.5404003e-02
