x,cf
0.871386,2.3978460e-03
0.874963,2.3097077e-03
0.878534,2.2250745e-03
0.882099,2.1439972e-03
0.885658,2.0665124e-03
0.889211,1.9926443e-03
0.892758,1.9223985e-03
0.896299,1.8557687e-03
0.899835,1.7927353e-03
0.903365,1.7332666e-03
0.906890,1.6773229e-03
0.910409,1.6248530e-03
0.913923,1.5757869e-03
0.917432,1.5300708e-03
0.920936,1.4876663e-03
0.924434,1.4484654e-03
0.927927,1.4123454e-03
0.931415,1.3792259e-03
0.934898,1.3490181e-03
0.938376,1.3216392e-03
0.941850,1.2969552e-03
0.945318,1.2749338e-03
0.948780,1.2555723e-03
0.952238,1.2386251e-03
0.955691,1.2239516e-03
0.959139,1.2115469e-03
0.962581,1.2012549e-03
0.966018,1.1930907e-03
0.969449,1.1871065e-03
0.972875,1.1829835e-03
0.976296,1.1806090e-03
0.979710,1.1799362e-03
0.983119,1.1810027e-03
0.986522,1.1839111e-03
0.989919,1.1883056e-03
0.993309,1.1940127e-03
0.996693,1.2011663e-03
1.000071,1.2098684e-03
1.003442,1.2199372e-03
1.006806,1.2310357e-03
1.010162,1.2433244e-03
1.013512,1.2570204e-03
1.016854,1.2717424e-03
1.020189,1.2872784e-03
1.023516,1.3039578e-03
1.026835,1.3217489e-03
1.030146,1.3401521e-03
1.033448,1.3594250e-03
1.036742,1.3797532e-03
1.040028,1.4005388e-03
1.043305,1.4220560e-03
1.046572,1.4443748e-03
1.049831,1.4670683e-03
1.053081,1.4904550e-03
1.056321,1.5142496e-03
1.059551,1.5384298e-03
1.062772,1.5631547e-03
1.065983,1.5880759e-03
1.069183,1.6133572e-03
1.072374,1.6388462e-03
1.075555,1.6645024e-03
1.078725,1.6903371e-03
1.081884,1.7162247e-03
1.085033,1.7421779e-03
1.088172,1.7680346e-03
1.091299,1.7937563e-03
1.094416,1.8192001e-03
1.097521,1.8443825e-03
1.100616,1.8692635e-03
1.103699,1.8938095e-03
1.106771,1.9181754e-03
1.109832,1.9420688e-03
1.112882,1.9656073e-03
1.115919,1.9887807e-03
1.118946,2.0114365e-03
1.121961,2.0337873e-03
